"","topic","value","filename"
"302","0",0.0245414694216365,"MB_1909_Sept"
"303","0",0.0175932243077501,"MB_1910_Apr"
"304","0",0.0559860709684778,"MB_1910_Feb"
"305","0",0.0678854058189254,"MB_1910_Jan"
"306","0",0.0347506912591283,"MB_1910_June"
"307","0",0.0118763055592662,"MB_1910_Mar"
"308","0",0.0201884878791431,"MB_1910_May"
"309","0",0.0361421524113196,"MB_1910_Nov"
"310","0",0.0380327575405606,"MB_1910_Oct"
"311","0",0.036919355941448,"MB_1910_Sept"
"312","0",0.0403610553403345,"MB_1911_Apr"
"313","0",0.0248219433206455,"MB_1911_Dec"
"314","0",0.0817989163405174,"MB_1911_Feb"
"315","0",0.0040854630991741,"MB_1911_Jan"
"316","0",0.048064297534405,"MB_1911_June"
"317","0",0.0431989070537172,"MB_1911_March"
"318","0",0.0374327476824102,"MB_1911_May"
"319","0",0.0301214729461223,"MB_1911_Nov"
"320","0",0.0203733327382087,"MB_1911_Oct"
"321","0",0.0176308636823217,"MB_1911_Sept"
"322","0",0.0229969177908044,"MB_1912_April"
"323","0",0.00212119331675064,"MB_1912_Dec"
"324","0",0.0495127819764123,"MB_1912_Feb"
"325","0",0.0173610061067732,"MB_1912_Jan"
"326","0",0.0398258134076257,"MB_1912_Jun"
"327","0",0.0492407944195654,"MB_1912_March"
"328","0",0.0574822300094226,"MB_1912_May"
"329","0",0.000695190449735905,"MB_1912_Nov"
"330","0",0.00249791342613144,"MB_1912_Oct"
"331","0",0.0240710526724413,"MB_1912_Sept"
"332","0",0.0214714602813403,"MB_1913_April"
"333","0",0.0641378884825705,"MB_1913_Dec"
"334","0",0.015026334590226,"MB_1913_Feb"
"335","0",0.0182370450763981,"MB_1913_Jan"
"336","0",0.0255763536774617,"MB_1913_June"
"337","0",0.040307562676727,"MB_1913_March"
"338","0",0.0727594003921878,"MB_1913_May"
"339","0",0.0241669300441448,"MB_1913_Nov"
"340","0",0.0167227514530481,"MB_1913_Oct"
"341","0",0.0182101739783221,"MB_1913_Sept"
"342","0",0.0158023461300742,"MB_1914_April"
"343","0",0.0141201184707546,"MB_1914_Dec"
"344","0",0.0301426964225252,"MB_1914_Feb"
"345","0",0.0519903473014014,"MB_1914_Jan"
"346","0",0.0178266886663192,"MB_1914_June"
"347","0",0.0493940555759379,"MB_1914_March"
"348","0",0.0554898921437788,"MB_1914_May"
"349","0",0.0257339498214578,"MB_1914_Nov"
"350","0",0.0101218753807576,"MB_1914_Oct"
"351","0",0.0843877390691851,"MB_1914_Sept"
"352","0",0.0921846898180829,"MB_1915_Dec"
"353","0",0.0590624925348821,"MB_1915_Feb"
"354","0",0.025752802983304,"MB_1915_Jan"
"355","0",0.0549838850202546,"MB_1915_June"
"356","0",0.0334643847470509,"MB_1915_March"
"357","0",0.0600838530903593,"MB_1915_May"
"358","0",0.0246189758277912,"MB_1915_Nov"
"359","0",0.0125137339588224,"MB_1915_Oct"
"360","0",0.0167681532445281,"MB_1915_Sept"
"361","0",0.0717729356294357,"MB_1916_April"
"362","0",0.0173349976608491,"MB_1916_Dec"
"363","0",0.11917691316786,"MB_1916_Feb"
"364","0",0.0506136515962652,"MB_1916_Jan"
"365","0",0.0119104960073821,"MB_1916_June"
"366","0",0.0504568203270126,"MB_1916_March"
"367","0",0.0254460562185198,"MB_1916_May"
"368","0",0.036405546971509,"MB_1916_Nov"
"369","0",0.0125435676962798,"MB_1916_Oct"
"370","0",0.0123765363673724,"MB_1916_Sept"
"371","0",0.0236636692907039,"MB_1917_April"
"372","0",0.0174905622727942,"MB_1917_Dec"
"373","0",0.0119101267989419,"MB_1917_Feb"
